Vis,ErrorScore,TruePercent,Reported
barchart_vert,1.2309544347032855,4.777777778,7
barchart_vert,-2.1009289095198573,1.108108108,1
barchart_vert,-0.8773807125666072,1.580645161,2
barchart_vert,-0.6780719051126377,1.5,1
barchart_vert,-1.526068812590912,1.222222222,1
barchart_vert,0.16992500144231237,6,5
barchart_vert,2.143758339441642,2.705882353,7
barchart_vert,-1.9004643256796478,2.857142857,3
barchart_vert,-0.11247472925841145,8.8,8
barchart_vert,0.34239219760963524,3.857142857,5
barchart_hor,-2.211504104586262,2.090909091,2
barchart_hor,-1.1740294003669238,1.318181818,1
barchart_hor,-3,1,1
barchart_hor,-2.6951454157235877,1.029411765,1
barchart_hor,-3,3,3
barchart_hor,0.16992500144231237,2,1
barchart_hor,-0.09310940439148147,2.8125,2
barchart_hor,-1.2157286895662034,1.305555556,1
barchart_hor,-0.7983661388303496,1.45,1
barchart_hor,0.3692338100380278,4.166666667,3
angles,2.357552004618084,75,70
angles,2.8328900141647417,117,110
angles,2.6147098441152083,244,250
angles,-3,271,271
angles,3.9188632372745946,325,340
angles,4.330916878114617,20,40
angles,1.0874628412503393,252,250
angles,3.4757334309663976,59,70
angles,4.592457037268081,316,340
angles,4.330916878114617,305,285
angles,4.011227255423254,34,50
angles,0.16992500144231237,184,185
angles,1.0874628412503393,87,85
angles,2.8328900141647417,53,60
angles,1.0874628412503393,357,355
angles,1.0874628412503393,6,4
angles,3.599912842187128,333,345
angles,-3,75,75
angles,2.0443941193584534,166,170
angles,0.16992500144231237,251,250
volume,7.5401280385820995,216,30
volume,8.243769031961852,343,40
volume,2.8328900141647417,27,20
volume,6.64565843240871,125,25
volume,5.463524373271181,64,20
volume,5.463524373271181,64,20
volume,5.361943773735241,64,23
volume,6.61654884377899,125,27
volume,5.5584207132686645,64,17
volume,7.5708044377244965,216,26
volume,3.9188632372745946,27,12
volume,7.5401280385820995,216,30
volume,5.463524373271181,64,20
volume,3.9188632372745946,27,12
volume,6.756556322524087,125,17
volume,8.290594888082572,343,30
volume,5.290018846932618,64,25
volume,5.361943773735241,64,23
volume,5.361943773735241,64,23
volume,8.313449940963057,343,25
barchart_vert,-2.302028535868622,1.277777778,1.2
barchart_vert,-2.7369655941662048,1.225,1.2
barchart_vert,-0.06140054516595077,4.333333333,3.5
barchart_vert,-2.1520030934450496,1.5,1.4
barchart_vert,-0.1124747292584125,1.2,2
barchart_vert,-2.188072351074487,1.194444444,1.1
barchart_vert,-1.4999263951166353,1.428571429,1.2
barchart_vert,-2.022961145974528,2.421052632,2.3
barchart_vert,-2.685618710534026,2.130434783,2.1
barchart_vert,-1.4806258422484624,2.333333333,2.1
barchart_hor,-2.383328637042471,1.366666667,1.3
barchart_hor,-1.39765541932283,2.454545455,2.2
barchart_hor,-2.8194277509636008,1.416666667,1.4
barchart_hor,-3,2,2
barchart_hor,-1.9394584564839135,1.535714286,1.4
barchart_hor,-1.9004643256796478,3.142857143,3
barchart_hor,-3,4,4
barchart_hor,0.16992500144231237,4.5,3.5
barchart_hor,-2.3113588548620756,1.176470588,1.1
barchart_hor,-1.6214883767462693,4,3.8
angles,4.330916878114617,60,80
angles,1.6438561897747248,42,45
angles,3.7142455176661224,157,170
angles,3.3398500028846247,10,20
angles,2.357552004618084,125,120
angles,1.6438561897747248,193,190
angles,0.16992500144231237,129,130
angles,2.0443941193584534,126,130
angles,3.599912842187128,228,240
angles,4.098032082960526,13,30
angles,2.0443941193584534,221,225
angles,3.9188632372745946,305,290
angles,4.330916878114617,15,35
angles,1.0874628412503393,102,100
angles,-3,275,275
angles,3.7142455176661224,123,110
angles,3.0223678130284544,342,350
angles,1.6438561897747248,222,225
angles,2.8328900141647417,153,160
angles,2.0443941193584534,204,200
volume,7.161131882984306,343,200
volume,-3,64,64
volume,-3,27,27
volume,6.231221180711185,125,50
volume,6.859534786382653,216,100
volume,5.092757140919852,64,30
volume,7.376125389276175,216,50
volume,6.571752643503546,125,30
volume,3.4757334309663976,27,16
volume,7.9255544398735545,343,100
volume,6.231221180711185,125,50
volume,7.593391122791737,343,150
volume,8.721526464007477,512,90
volume,8.721526464007477,512,90
volume,8.19537220740274,343,50
volume,7.460455896309637,216,40
volume,5.463524373271181,64,20
volume,7.460455896309637,216,40
volume,6.571752643503546,125,30
volume,7.460455896309637,216,40
barchart_vert,-2.94477047684125,1.195121951,1.2
barchart_vert,-1.5052353093673476,2.227272727,2
barchart_vert,-0.20726711162141026,2.941176471,2.2
barchart_vert,-2.152003093445051,1.1,1.2
barchart_vert,-1.0674129215404702,1.652173913,1.3
barchart_vert,-0.19264507794239588,3.75,4.5
barchart_vert,-1.3077607644645552,1.578947368,1.3
barchart_vert,-2.176877763087693,1.153846154,1.25
barchart_vert,-0.6780719051126377,3,2.5
barchart_vert,-1.8255022694983423,1.642857143,1.8
barchart_hor,-2.514573172829758,1,1.05
barchart_hor,-1.9581798252946498,1.382352941,1.25
barchart_hor,-1.112474729258413,2.4375,2.1
barchart_hor,-2.3314508655663313,1.026315789,1.1
barchart_hor,0.9696263507109159,7.833333333,6
barchart_hor,-2.152003093445051,1.1,1.2
barchart_hor,-0.8177966695617296,1.692307692,1.25
barchart_hor,-1.415037499278844,5.25,5
barchart_hor,-0.8804929060268213,1.818181818,1.4
barchart_hor,-1.8109661756099824,1.36,1.2
angles,2.6147098441152083,274,280
angles,2.8328900141647417,238,245
angles,3.189824558880017,259,250
angles,0.16992500144231237,279,280
angles,-3,320,320
angles,2.357552004618084,185,190
angles,2.6147098441152083,204,210
angles,3.7142455176661224,7,20
angles,2.8328900141647417,352,345
angles,4.813781191217037,158,130
angles,2.357552004618084,230,225
angles,0.16992500144231237,46,45
angles,1.0874628412503393,308,310
angles,3.3398500028846247,305,315
angles,2.357552004618084,330,325
angles,1.6438561897747248,182,185
angles,1.0874628412503393,43,45
angles,-3,50,50
angles,0.16992500144231237,44,45
angles,3.599912842187128,203,215
volume,5.618385502258606,64,15
volume,8.807757403589267,512,64
volume,7.644757592516257,216,16
volume,6.79603960882977,125,14
volume,5.703903573444664,64,12
volume,6.79603960882977,125,14
volume,8.313449940963057,343,25
volume,8.322491537597468,343,23
volume,7.615629636968097,216,20
volume,5.647458426454921,64,14
volume,5.675957032941749,64,13
volume,6.76983784362944,125,16
volume,3.7142455176661224,27,14
volume,6.808964174919261,125,13
volume,6.79603960882977,125,14
volume,8.358101707440847,343,15
volume,8.313449940963057,343,25
volume,8.322491537597468,343,23
volume,8.326991174900817,343,22
volume,6.8470573460913355,125,10
barchart_vert,-0.6780719051126377,2,1.5
barchart_vert,-2.9607405680035717,1.103448276,1.1
barchart_vert,-2.152003093445051,1.2,1.1
barchart_vert,-2.45091453436195,1.157894737,1.1
barchart_vert,-1.821662757936263,2.157894737,2
barchart_vert,-2.47522450276614,1.35483871,1.3
barchart_vert,-0.19264507794239588,3.75,3
barchart_vert,-1.415037499278844,1.75,1.5
barchart_vert,-1.9004643256796478,3.142857143,3
barchart_vert,-2.263034408142105,2.416666667,2.5
barchart_hor,-2.703018258216742,1.428571429,1.4
barchart_hor,-2.383328637042471,1.066666667,1
barchart_hor,-0.6780719051126377,3.5,3
barchart_hor,-1.1740294003669238,1.681818182,2
barchart_hor,-1.365284463103646,2.263157895,2
barchart_hor,-0.11247472925841284,3.8,3
barchart_hor,-2.383328637042471,1.166666667,1.1
barchart_hor,-2.4832090006793957,1.346153846,1.4
barchart_hor,-2.347923306568005,1.171428571,1.1
barchart_hor,-1.8255022694983423,1.357142857,1.2
angles,1.0874628412503393,47,45
angles,2.357552004618084,40,45
angles,2.357552004618084,40,45
angles,1.0874628412503393,158,160
angles,2.357552004618084,345,340
angles,3.820178962415188,16,30
angles,3.189824558880017,309,300
angles,2.6147098441152083,256,250
angles,2.357552004618084,305,300
angles,0.16992500144231237,44,45
angles,1.6438561897747248,83,80
angles,0.16992500144231237,249,250
angles,2.6147098441152083,64,70
angles,0.16992500144231237,109,110
angles,4.7615512324444795,318,345
angles,2.357552004618084,210,215
angles,1.0874628412503393,262,260
angles,3.189824558880017,159,150
angles,2.357552004618084,205,200
angles,5.2143191208007655,153,190
volume,-3,27,27
volume,6.9901039638575,343,216
volume,-3,64,64
volume,6.509775004326937,216,125
volume,6.9901039638575,343,216
volume,5.933690654952234,125,64
volume,5.933690654952234,125,64
volume,5.2143191208007655,64,27
volume,6.509775004326937,216,125
volume,-3,64,64
volume,-3,64,64
volume,-3,64,64
volume,-3,343,343
volume,7.401946123976537,512,343
volume,6.9901039638575,343,216
volume,-3,125,125
volume,6.9901039638575,343,216
volume,-3,64,64
volume,-3,64,64
volume,-3,64,64
barchart_vert,-2.612976880964245,1.461538462,1.5
barchart_vert,-2.2630344081421065,1.916666667,2
barchart_vert,-1.1255308831330912,2.666666667,3
barchart_vert,-2.6438561897747235,1.05,1.015
barchart_vert,-2.568012428680287,1.636363636,1.68
barchart_vert,-1.9194523594777297,1.419354839,1.28
barchart_vert,-1.8624964762500633,4.25,4.1
barchart_vert,-1.6665762662748085,2.45,2.64
barchart_vert,-2,6.125,6
barchart_vert,-1.387816031083142,4.142857143,4.4
barchart_hor,-3,1.3,1.3
barchart_hor,-0.30697775401631705,4.083333333,3.4
barchart_hor,-2.8624964762500658,1.4375,1.45
barchart_hor,-2.054155768154846,1.315789474,1.2
barchart_hor,-2.9068905992152567,1.066666667,1.075
barchart_hor,-0.6780719051126377,5.5,5
barchart_hor,-2.3616742765816294,1.869565217,1.8
barchart_hor,-2.819427750963603,1.266666667,1.25
barchart_hor,-3,2.2,2.2
barchart_hor,-2.1520030934450523,4,4.1
angles,1.0874628412503393,236,238
angles,2.6147098441152083,174,168
angles,1.0874628412503393,93,95
angles,1.0874628412503393,84,82
angles,0.16992500144231237,93,94
angles,1.0874628412503393,142,140
